,verified,favourites_count,followers_count,friends_count,statuses_count,type
125101376,0,4.0,1541.0,1888.0,399.0,1.0
125212960,0,0.0,141.0,83.0,111.0,1.0
125270554,0,0.0,16.0,36.0,132.0,1.0
125417359,0,3.0,958.0,405.0,2710.0,1.0
125637346,0,0.0,3181.0,1760.0,5747.0,1.0
125754374,0,987.0,644.0,818.0,1156.0,1.0
125765605,0,0.0,89.0,116.0,953.0,1.0
125943983,0,0.0,532.0,1758.0,158.0,1.0
125945151,0,0.0,14.0,0.0,4770.0,1.0
125947490,0,0.0,1216.0,296.0,1133.0,1.0
126125056,0,55.0,374.0,245.0,350.0,1.0
126407534,0,41.0,581.0,1402.0,529.0,1.0
126914026,0,0.0,589.0,1985.0,1111.0,1.0
128021723,0,38.0,1449.0,84.0,2437.0,1.0
128024931,0,3.0,3723.0,3349.0,57342.0,1.0
128272680,0,8.0,983.0,194.0,1078.0,1.0
128331997,0,9.0,87.0,56.0,226.0,1.0
128538736,0,0.0,250.0,389.0,1552.0,1.0
128783704,0,0.0,12.0,0.0,979.0,1.0
128811344,0,0.0,12.0,0.0,969.0,1.0
128976971,0,32.0,1348.0,1808.0,378.0,1.0
129676498,0,0.0,1511.0,1720.0,2063.0,1.0
129693454,0,0.0,236.0,1149.0,160.0,1.0
130000070,0,22.0,264.0,42.0,1129.0,1.0
130631604,0,12.0,1018.0,176.0,2511.0,1.0
130723982,0,169.0,414.0,1466.0,1029.0,1.0
130763010,0,0.0,610.0,2.0,478.0,1.0
130798668,0,0.0,276.0,27.0,689.0,1.0
130882237,0,21.0,953.0,158.0,3967.0,1.0
130882237,0,21.0,957.0,158.0,3967.0,1.0
130911553,0,0.0,52.0,76.0,389.0,1.0
131033220,0,2.0,546.0,221.0,670.0,1.0
131180115,0,2.0,159.0,10.0,706.0,1.0
131211756,0,9.0,478.0,1793.0,1335.0,1.0
131863930,0,2433.0,1187.0,1954.0,2863.0,1.0
132224599,0,0.0,23.0,10.0,471.0,1.0
132237290,0,6.0,83.0,35.0,799.0,1.0
132667584,0,1073.0,1342.0,1971.0,7154.0,1.0
133006345,0,6.0,127.0,35.0,891.0,1.0
133197408,0,13.0,158.0,15.0,413.0,1.0
133256324,0,0.0,74.0,99.0,302.0,1.0
133383875,0,0.0,291.0,596.0,1331.0,1.0
133448383,0,2.0,1433.0,1884.0,2097.0,1.0
133753333,0,521.0,5531.0,3426.0,7556.0,1.0
134011461,0,2.0,444.0,1308.0,34265.0,1.0
134583900,0,0.0,100.0,123.0,255.0,1.0
134837058,0,0.0,418.0,520.0,178.0,1.0
134994013,0,4.0,2242.0,1115.0,1564.0,1.0
135263946,0,0.0,386.0,481.0,237.0,1.0
135666269,0,1.0,38.0,62.0,285.0,1.0
136294278,0,1.0,29.0,197.0,544.0,1.0
136295973,0,0.0,258.0,124.0,298.0,1.0
136389024,0,8.0,767.0,1812.0,3296.0,1.0
137043687,0,7.0,619.0,1943.0,601.0,1.0
137288829,0,316.0,1782.0,720.0,1205.0,1.0
137775956,0,334.0,31647.0,2030.0,4803.0,1.0
137796521,0,0.0,101.0,77.0,151.0,1.0
137900749,0,0.0,168.0,58.0,379.0,1.0
138133150,0,0.0,15.0,0.0,2277.0,1.0
138143812,0,0.0,5.0,6.0,232.0,1.0
138888006,0,10.0,660.0,303.0,2627.0,1.0
138899085,0,457.0,2309.0,139.0,2111.0,1.0
139787606,0,0.0,31.0,24.0,105.0,1.0
139935850,0,2409.0,99.0,581.0,1800.0,1.0
140040743,0,13.0,71.0,204.0,196.0,1.0
140308702,0,6.0,368.0,457.0,4221.0,1.0
140686472,0,0.0,601.0,10.0,1578.0,1.0
140826857,0,0.0,18.0,0.0,151.0,1.0
141180071,0,0.0,652.0,6.0,9506.0,1.0
141228885,0,0.0,33.0,33.0,1266.0,1.0
141243146,0,0.0,63.0,7.0,181.0,1.0
141346203,0,0.0,302.0,1741.0,7095.0,1.0
141572254,0,33.0,386.0,259.0,441.0,1.0
