,verified,favourites_count,followers_count,friends_count,statuses_count,type
134999660,0,0.0,7.0,27.0,211.0,2.0
135051516,0,5.0,93.0,141.0,2114.0,2.0
135095653,0,16.0,57.0,66.0,16715.0,2.0
135118065,0,6335.0,196.0,419.0,4007.0,2.0
135125551,0,2.0,76.0,139.0,909.0,2.0
135134694,0,1.0,1488.0,1006.0,1091.0,2.0
135164115,0,3.0,16.0,24.0,115.0,2.0
135184317,0,67.0,118.0,165.0,458.0,2.0
135291368,0,11.0,208.0,234.0,10615.0,2.0
135326453,0,62.0,274.0,594.0,478.0,2.0
135338252,0,3.0,169.0,306.0,1410.0,2.0
135351955,0,25.0,69.0,98.0,510.0,2.0
135355833,0,217.0,14136.0,507.0,1242.0,2.0
135366432,0,1524.0,219.0,1351.0,1601.0,2.0
135393650,0,2.0,48.0,46.0,124.0,2.0
135413833,0,9.0,90.0,136.0,2003.0,2.0
135633441,0,50.0,139.0,114.0,2787.0,2.0
135634120,0,3.0,57.0,78.0,472.0,2.0
135635012,0,1.0,112.0,153.0,2287.0,2.0
135642735,0,539.0,84.0,252.0,2100.0,2.0
1356511,0,164.0,249.0,445.0,1567.0,2.0
135695411,0,6.0,65.0,79.0,112.0,2.0
135757356,0,24.0,114.0,409.0,1565.0,2.0
135801471,0,26.0,397.0,341.0,34064.0,2.0
135832627,0,49.0,4973.0,153.0,1462.0,2.0
135876330,0,525.0,39.0,266.0,4253.0,2.0
135925703,0,66.0,94.0,230.0,2627.0,2.0
135926567,0,0.0,33.0,79.0,157.0,2.0
135947236,0,32.0,114.0,404.0,352.0,2.0
135973263,0,178.0,259.0,271.0,1464.0,2.0
136029635,0,489.0,682.0,613.0,24118.0,2.0
136042477,0,0.0,9.0,49.0,226.0,2.0
136045558,0,52.0,73.0,608.0,107.0,2.0
136049094,0,417.0,197.0,496.0,967.0,2.0
136057752,0,71.0,234.0,297.0,3603.0,2.0
136067459,0,28.0,1432.0,1743.0,2263.0,2.0
136108625,0,11.0,13.0,69.0,1060.0,2.0
136116404,0,6.0,149.0,27.0,3844.0,2.0
136167462,0,3.0,43.0,40.0,237.0,2.0
136322490,0,1521.0,4993.0,4760.0,57145.0,2.0
13632782,0,114.0,3989.0,2564.0,7510.0,2.0
136408881,0,42.0,15583.0,9548.0,1294.0,2.0
136492477,0,4.0,83.0,113.0,2919.0,2.0
136498173,0,290.0,244.0,292.0,2009.0,2.0
136676260,0,2.0,460.0,1966.0,3298.0,2.0
136683149,0,1232.0,593.0,1049.0,2618.0,2.0
136693070,0,620.0,38.0,247.0,765.0,2.0
13670782,0,288.0,858.0,762.0,14795.0,2.0
136777325,0,1021.0,308.0,148.0,13830.0,2.0
136790726,0,0.0,564.0,1662.0,103.0,2.0
136901600,0,8.0,378.0,142.0,13466.0,2.0
136923603,0,0.0,11.0,34.0,204.0,2.0
13704512,0,2.0,396.0,51.0,587.0,2.0
137048981,0,74.0,136.0,297.0,2519.0,2.0
137062865,0,1154.0,689.0,580.0,7973.0,2.0
137072981,0,2305.0,225.0,179.0,6785.0,2.0
137096150,0,1365.0,248.0,228.0,2435.0,2.0
137142666,0,4919.0,445.0,853.0,5733.0,2.0
137169753,0,5617.0,456.0,252.0,2204.0,2.0
137189700,0,4.0,66.0,55.0,596.0,2.0
137197810,0,2.0,27.0,25.0,108.0,2.0
137201212,0,437.0,360.0,281.0,39523.0,2.0
137229695,0,3.0,243.0,222.0,1197.0,2.0
137337295,0,0.0,190.0,72.0,137.0,2.0
137366420,0,42.0,192.0,866.0,550.0,2.0
137392106,0,30.0,41.0,101.0,1968.0,2.0
137455188,0,12.0,23.0,108.0,320.0,2.0
137481881,0,22.0,18.0,66.0,317.0,2.0
137496570,0,3.0,108.0,141.0,164.0,2.0
137537710,0,0.0,23.0,73.0,249.0,2.0
137562223,0,196.0,385.0,280.0,18110.0,2.0
137573006,0,409.0,4512.0,3207.0,15075.0,2.0
137620439,0,11.0,73.0,465.0,281.0,2.0
137632011,0,11.0,241.0,176.0,2595.0,2.0
137742860,0,174.0,8979.0,311.0,43867.0,2.0
137802226,0,514.0,608.0,766.0,1295.0,2.0
137805637,0,4650.0,199.0,354.0,8199.0,2.0
137815395,0,1047.0,425.0,509.0,2532.0,2.0
137881635,0,1.0,248.0,317.0,2032.0,2.0
137912089,0,14.0,46.0,34.0,1107.0,2.0
137923130,0,13.0,295.0,1978.0,1714.0,2.0
137942963,0,10.0,49.0,140.0,538.0,2.0
138005288,0,0.0,13.0,17.0,865.0,2.0
138038588,0,1.0,65.0,267.0,1156.0,2.0
138054605,0,38.0,357.0,239.0,7349.0,2.0
138078278,0,2.0,324.0,270.0,2013.0,2.0
138143730,0,248.0,238.0,474.0,1312.0,2.0
138189838,0,538.0,342.0,333.0,1304.0,2.0
138211550,0,6.0,34.0,63.0,1653.0,2.0
138226587,0,0.0,1.0,0.0,150.0,2.0
138328269,0,2156.0,68.0,323.0,2319.0,2.0
138373277,0,17.0,767.0,362.0,1334.0,2.0
138402988,0,13.0,17.0,29.0,335.0,2.0
138418259,0,54.0,16.0,21.0,278.0,2.0
138482923,0,142.0,574.0,441.0,2462.0,2.0
138665105,0,40.0,89.0,156.0,5832.0,2.0
138665762,0,3.0,62.0,111.0,275.0,2.0
138676310,0,44.0,294.0,337.0,16401.0,2.0
138684340,0,0.0,600.0,183.0,16456.0,2.0
138784312,0,113.0,25.0,70.0,131.0,2.0
138805027,0,2.0,159.0,222.0,233.0,2.0
13880962,0,1.0,117.0,67.0,531.0,2.0
138874997,0,6.0,820.0,186.0,7758.0,2.0
138881597,0,164.0,312.0,1332.0,911.0,2.0
138882758,0,0.0,2.0,737.0,148.0,2.0
138931951,0,1670.0,1133.0,1152.0,15107.0,2.0
138995267,0,6.0,25.0,73.0,245.0,2.0
