,verified,favourites_count,followers_count,friends_count,statuses_count,type
258696818,False,0.0,247.0,20.0,156.0,1.0
25870759,False,4.0,69.0,92.0,368.0,1.0
64124524,False,0.0,7930.0,1713.0,73163.0,1.0
150660859,False,3.0,172.0,158.0,262.0,1.0
1506671,False,598.0,3438.0,284.0,1506.0,1.0
258813738,False,122.0,1390.0,1930.0,1038.0,1.0
150791798,False,55.0,419.0,179.0,572.0,1.0
150858704,False,0.0,0.0,1.0,289.0,1.0
377943926,False,31.0,427.0,554.0,678.0,1.0
150941559,False,2.0,49.0,192.0,106.0,1.0
308880776,False,1.0,10.0,22.0,407.0,1.0
15099160,False,0.0,559.0,105.0,191.0,1.0
212374249,False,0.0,350.0,1820.0,2441.0,1.0
491541312,False,0.0,40.0,123.0,116.0,1.0
309716941,False,3.0,66.0,112.0,424.0,1.0
258616785,False,4.0,8.0,17.0,105.0,1.0
64814274,False,2.0,371.0,151.0,293.0,1.0
14986811,False,145.0,71751.0,57150.0,71780.0,1.0
310209347,False,5.0,30.0,127.0,968.0,1.0
31015485,False,267.0,732.0,25.0,700.0,1.0
37749110,False,72.0,12015.0,10646.0,5213.0,1.0
21255527,False,3.0,2177.0,401.0,149.0,1.0
258563992,False,39.0,482.0,1708.0,891.0,1.0
377565001,False,15.0,1252.0,681.0,5355.0,1.0
377577675,False,71.0,10212.0,1073.0,5569.0,1.0
150132424,False,2.0,1364.0,484.0,1823.0,1.0
309797017,False,398.0,268.0,468.0,1868.0,1.0
64560288,False,7.0,251.0,487.0,760.0,1.0
309793516,False,162.0,237.0,142.0,541.0,1.0
150255923,False,0.0,7.0,0.0,286.0,1.0
309784474,False,98.0,52.0,41.0,922.0,1.0
431840945,False,1880.0,2774.0,153.0,3705.0,1.0
305581600,False,6.0,1083.0,109.0,693.0,1.0
61114214,False,11.0,1208.0,1072.0,5179.0,1.0
26106753,False,547.0,7564.0,2170.0,4063.0,1.0
57107124,True,34.0,221947.0,121.0,1798.0,1.0
