id,verified,favorites_ct,followers_ct,friends_ct,tweets_ct,type
423542677,0,430,20907,2049,29822,2
407467659,0,5,41,80,114,2
198080386,0,416,234,466,450,2
320165987,0,0,93,78,234,2
289567666,0,61,800,1999,261,1
358751249,0,147,50,87,4310,2
135051516,0,5,94,141,2115,2
33890111,0,570,348,584,4739,2
130444168,0,0,31,25,121,2
545105487,0,245,473,581,13360,2
104315430,0,1331,193,158,1610,2
361641822,0,3,217,235,626,1
376114455,0,68,783,1370,1337,2
269687116,0,0,44,14,893,1
26009261,0,358,539,541,2487,2
188304239,0,1,114,366,1470,2
333341666,0,7,100,161,626,2
493755836,0,7,128,200,1387,2
125205020,0,2317,111,136,2340,2
174029763,0,0,53,23,339,1
312842961,0,4,46,57,303,2
294196540,0,243,1071,910,36522,2
175526899,0,5955,1440,1557,15820,2
430214999,0,694,156,129,3746,2
95055173,0,71,62,206,4378,2
13704512,0,2,396,51,589,2
554249987,0,0,16,21,682,2
498991034,0,8,277,169,389,2
144342895,0,4675,609,314,8127,2
549704066,0,553,275,392,3972,2
50424467,0,330,291,466,10432,2
296789838,0,432,52,260,2813,2
105005022,0,664,284,670,4267,2
474609341,0,7100,1229,1088,26237,2
310396618,0,637,572,260,5123,2
333563921,0,0,13,6,206,1
87628227,0,609,146,415,2208,2
109114758,0,1126,941,1999,6303,2
238906848,0,11,601,129,26348,2
208192180,0,81,422,1623,634,2
349492072,0,128,1126,1968,623,2
557770628,0,0,26,77,166,2
271355939,0,43,66,67,2197,2
468044028,0,50,175,161,449,2
17124600,0,571,185,176,3563,2
297780783,0,4752,1020,1110,7028,2
17370134,0,0,68,65,213,1
84613800,0,2,2655,320,18420,1
398812199,0,117,42,92,223,2
27194766,0,0,384,1511,141,2
18630551,0,1,70,70,1498,2
557042777,0,105,102,611,131,2
431829324,0,16,195,207,361,2
421006875,0,3867,122,136,11357,2
196172612,0,0,233,1253,127,1
144435711,0,6,43,99,101,2
38210328,0,1052,185,172,6929,2
240734852,0,0,66,12,119,1
44251352,0,2406,108,213,2648,2
328931463,0,260,605,614,992,2
41253863,0,74,134,330,8340,2
174784518,0,18,161,346,156,2
281993516,0,0,109,850,121,2
416486048,0,10287,434,370,5386,2
366883456,0,1,22,50,108,2
183913875,0,5737,408,513,2392,2
15946734,0,7573,515,980,3176,2
425316161,0,644,166,664,3257,2
21273293,0,0,59,191,121,2
232826531,0,130,802,1740,5912,2
100776005,0,16,60,90,176,2
408080965,0,593,328,573,3644,2
301602415,0,1272,292,275,1482,2
367411078,0,427,223,493,7769,2
36736443,0,4,6,4,242,2
27717235,0,3705,1645,1823,30764,2
258563992,0,39,485,1712,887,1
325376452,0,0,29,22,1662,2
256537042,0,4765,512,224,10838,2
29772719,0,93,45,68,2832,2
448952972,0,2117,292,272,5344,2
103738684,0,0,55,15,224,1
16415277,0,697,134,524,7101,2
69448743,0,376,261,413,9429,2
349961277,0,174,250,703,1136,2
497319348,0,0,389,1951,110,1
283679734,0,3,139,268,1028,2
289278869,0,19,953,1726,1646,1
131247834,0,8,86,65,1272,2
104899869,0,3,94,118,121,2
284684692,0,0,199,256,4835,2
144661922,0,97,181,338,235,2
236603330,0,2348,1293,1058,47635,2
372170816,0,1842,5560,2381,2908,2
213867845,1,1544,2051,629,7916,2
55836159,0,19,181,839,234,2
315555793,0,38,46,196,1000,2
416904501,0,210,111,81,834,2
8964582,0,217,158,181,3216,2
119781150,0,18,465,1403,1226,2
298487414,0,2,22,38,423,2
408002247,0,2,36,46,401,2
214280338,0,1088,66,208,92,2
351102377,0,417,611,1366,14397,2
65901356,0,0,51,51,330,2
19542873,0,1901,424,16,13590,2
548433920,0,0,24,98,194,2
71239432,0,0,55,75,627,2
95349833,0,1,145,260,106,2
517152877,0,5280,408,412,16675,2
21111304,0,118,2096,345,981,2
271549407,0,1391,804,557,2809,2
