,verified,favourites_count,followers_count,friends_count,statuses_count,type
103431209,0,2703.0,382.0,271.0,7434.0,2.0
103435963,0,207.0,347.0,116.0,1056.0,2.0
103483195,0,62.0,78.0,69.0,467.0,2.0
103489136,0,1091.0,2945.0,189.0,34338.0,2.0
103520930,0,1192.0,121.0,206.0,5156.0,2.0
103566870,0,197.0,685.0,1438.0,3654.0,2.0
103655234,0,0.0,271.0,397.0,641.0,2.0
103666972,0,1116.0,261.0,74.0,4979.0,2.0
103724495,0,4.0,36.0,81.0,258.0,2.0
103725837,0,74.0,514.0,787.0,7652.0,2.0
103795699,0,9.0,68.0,84.0,187.0,2.0
103799631,0,1126.0,268.0,315.0,19363.0,2.0
103801029,0,1084.0,291.0,280.0,15428.0,2.0
103826543,0,47.0,38.0,88.0,903.0,2.0
103848627,0,243.0,83.0,84.0,251.0,2.0
103865654,0,2321.0,353.0,472.0,10588.0,2.0
103902467,0,1.0,218.0,540.0,162.0,2.0
103974701,0,4690.0,350.0,234.0,29329.0,2.0
103992191,0,10.0,710.0,1611.0,511.0,2.0
104093832,0,2213.0,194.0,378.0,432.0,2.0
104095391,0,8.0,12.0,29.0,153.0,2.0
104114168,0,9.0,20.0,7.0,1120.0,2.0
104167105,0,630.0,710.0,805.0,1966.0,2.0
104169825,0,3.0,12.0,14.0,533.0,2.0
104171847,0,122.0,195.0,1071.0,805.0,2.0
104180152,0,34.0,338.0,505.0,1894.0,2.0
104183782,0,6.0,307.0,278.0,2409.0,2.0
104183782,0,6.0,308.0,278.0,2410.0,2.0
104217833,0,367.0,486.0,664.0,9462.0,2.0
104219226,0,1524.0,397.0,281.0,5467.0,2.0
10422062,0,110.0,88.0,19.0,1824.0,2.0
104284385,0,38.0,49.0,227.0,231.0,2.0
104315430,0,1329.0,193.0,158.0,1610.0,2.0
104336759,0,147.0,318.0,179.0,7814.0,2.0
104364399,0,36.0,91.0,372.0,124.0,2.0
104370057,0,26.0,121.0,120.0,908.0,2.0
104373897,0,186.0,88.0,97.0,749.0,2.0
104411034,0,0.0,14.0,25.0,311.0,2.0
104418668,0,1.0,53.0,64.0,1228.0,2.0
104451212,0,2.0,2377.0,7.0,458.0,2.0
104456136,0,2.0,150.0,518.0,1395.0,2.0
104476528,0,74.0,284.0,247.0,13716.0,2.0
104511735,0,613.0,233.0,159.0,43996.0,2.0
104514749,0,14.0,72.0,90.0,4442.0,2.0
104523930,0,41.0,688.0,87.0,405.0,2.0
104562572,0,1.0,39.0,90.0,544.0,2.0
104589271,0,13.0,94.0,85.0,1100.0,2.0
104609628,0,155.0,1520.0,1981.0,328.0,2.0
104682150,0,1880.0,1070.0,1201.0,25179.0,2.0
104682989,0,4377.0,849.0,1890.0,20681.0,2.0
104694333,0,37.0,297.0,489.0,604.0,2.0
104703021,0,179.0,810.0,950.0,9940.0,2.0
104846123,0,85.0,38.0,222.0,309.0,2.0
104858782,0,49.0,202.0,719.0,543.0,2.0
104877291,0,2.0,10.0,25.0,171.0,2.0
104886036,0,102.0,173.0,155.0,1991.0,2.0
104899869,0,3.0,94.0,118.0,121.0,2.0
10495802,0,73.0,218.0,236.0,5758.0,2.0
105005022,0,678.0,283.0,636.0,4279.0,2.0
105022232,0,1113.0,295.0,465.0,10134.0,2.0
105024750,0,1657.0,339.0,383.0,2692.0,2.0
105026398,0,12925.0,174.0,109.0,30172.0,2.0
105054466,0,12.0,82.0,51.0,1648.0,2.0
105084891,0,229.0,24.0,192.0,2751.0,2.0
105111059,0,24.0,495.0,303.0,866.0,2.0
105134667,0,556.0,130.0,135.0,50147.0,2.0
105154941,0,518.0,258.0,230.0,806.0,2.0
105252989,0,245.0,220.0,313.0,5404.0,2.0
105317312,0,30.0,208.0,456.0,764.0,2.0
105330525,0,32.0,95.0,1910.0,817.0,2.0
105356073,0,13.0,106.0,122.0,1026.0,2.0
105447305,0,6.0,29.0,65.0,747.0,2.0
105498573,0,103.0,390.0,218.0,1291.0,2.0
105516403,0,249.0,517.0,970.0,1672.0,2.0
105572425,0,4.0,66.0,119.0,1309.0,2.0
105609024,0,68.0,3429.0,24.0,32539.0,2.0
105627484,0,1958.0,451.0,388.0,10811.0,2.0
105628354,0,5954.0,147.0,957.0,8655.0,2.0
105632578,0,108.0,85.0,73.0,3143.0,2.0
105660230,0,933.0,150.0,184.0,403.0,2.0
105674531,0,10.0,39.0,42.0,238.0,2.0
105730857,0,6.0,268.0,214.0,2101.0,2.0
105809264,0,37.0,209.0,148.0,717.0,2.0
105809743,0,14.0,13.0,23.0,2212.0,2.0
105813767,0,0.0,22.0,39.0,926.0,2.0
105838979,0,1090.0,390.0,608.0,14254.0,2.0
105876769,0,0.0,132.0,160.0,238.0,2.0
105954369,0,4.0,36.0,47.0,820.0,2.0
106040264,0,8.0,76.0,339.0,1884.0,2.0
106052475,0,2.0,28.0,228.0,172.0,2.0
106112217,0,42.0,309.0,219.0,2251.0,2.0
106137732,0,3.0,27.0,49.0,788.0,2.0
106155544,0,622.0,188.0,177.0,11474.0,2.0
106160971,0,86.0,52.0,212.0,487.0,2.0
106195903,0,0.0,6.0,0.0,131.0,2.0
106237811,0,215.0,107.0,253.0,2828.0,2.0
106263038,0,2.0,58.0,237.0,155.0,2.0
106280441,0,1.0,74.0,213.0,194.0,2.0
106300448,0,151.0,20.0,48.0,1679.0,2.0
106310062,0,394.0,105.0,294.0,324.0,2.0
106327670,0,262.0,362.0,1129.0,1803.0,2.0
106362998,0,260.0,253.0,210.0,1259.0,2.0
106383310,0,2.0,53.0,53.0,101.0,2.0
106398034,0,480.0,180.0,235.0,1608.0,2.0
106408368,0,21.0,87.0,460.0,1500.0,2.0
106465628,0,0.0,29.0,97.0,706.0,2.0
106468753,0,1319.0,254.0,332.0,3588.0,2.0
106482941,0,53.0,75.0,73.0,221.0,2.0
106499708,0,2.0,11.0,81.0,355.0,2.0
106529557,0,3974.0,572.0,874.0,14791.0,2.0
